[215/325] OCR: 047 linhas, confiança 0.839
[216/325] OCR: 037 linhas, confiança 0.912
[217/325] OCR: 011 linhas, confiança 0.892
[218/325] OCR: 067 linhas, confiança 0.816
[219/325] OCR: 057 linhas, confiança 0.821
[220/325] OCR: 051 linhas, confiança 0.812
[221/325] OCR: 052 linhas, confiança 0.760
[222/325] OCR: 031 linhas, confiança 0.767
[223/325] OCR: 069 linhas, confiança 0.804
[224/325] OCR: 067 linhas, confiança 0.833
[225/325] OCR: 048 linhas, confiança 0.868
[226/325] OCR: 019 linhas, confiança 0.910
[227/325] OCR: 065 linhas, confiança 0.807
[228/325] OCR: 052 linhas, confiança 0.814
[229/325] OCR: 045 linhas, confiança 0.886
[230/325] OCR: 014 linhas, confiança 0.893
[231/325] OCR: 058 linhas, confiança 0.815
[232/325] OCR: 049 linhas, confiança 0.854
[233/325] OCR: 039 linhas, confiança 0.898
[234/325] OCR: 057 linhas, confiança 0.814
[235/325] OCR: 043 linhas, confiança 0.850
[236/325] OCR: 041 linhas, confiança 0.860
[237/325] OCR: 040 linhas, confiança 0.850
[238/325] OCR: 056 linhas, confiança 0.839
[239/325] OCR: 021 linhas, confiança 0.907
[240/325] OCR: 058 linhas, confiança 0.795
[241/325] OCR: 058 linhas, confiança 0.807
[242/325] OCR: 037 linhas, confiança 0.839
[243/325] OCR: 039 linhas, confiança 0.764
[244/325] OCR: 037 linhas, confiança 0.869
[245/325] OCR: 077 linhas, confiança 0.827
[246/325] OCR: 088 linhas, confiança 0.776
[247/325] OCR: 057 linhas, confiança 0.871
[248/325] OCR: 044 linhas, confiança 0.896
[249/325] OCR: 058 linhas, confiança 0.849
[250/325] OCR: 089 linhas, confiança 0.840
[251/325] OCR: 091 linhas, confiança 0.840
[252/325] OCR: 058 linhas, confiança 0.829
[253/325] OCR: 058 linhas, confiança 0.851
[254/325] OCR: 016 linhas, confiança 0.899
[255/325] OCR: 036 linhas, confiança 0.888
[256/325] OCR: 064 linhas, confiança 0.824
[257/325] OCR: 063 linhas, confiança 0.838
[258/325] OCR: 064 linhas, confiança 0.819
[259/325] OCR: 068 linhas, confiança 0.848
[260/325] OCR: 062 linhas, confiança 0.810
[261/325] OCR: 043 linhas, confiança 0.893
[262/325] OCR: 060 linhas, confiança 0.888
[263/325] OCR: 069 linhas, confiança 0.878
[264/325] OCR: 104 linhas, confiança 0.771
[265/325] OCR: 064 linhas, confiança 0.819
[266/325] OCR: 031 linhas, confiança 0.887
[267/325] OCR: 051 linhas, confiança 0.783
[268/325] OCR: 001 linhas, confiança 0.885
[269/325] OCR: 036 linhas, confiança 0.921
[270/325] OCR: 050 linhas, confiança 0.901
[271/325] OCR: 034 linhas, confiança 0.904
[272/325] OCR: 056 linhas, confiança 0.791
[273/325] OCR: 050 linhas, confiança 0.815
[274/325] OCR: 048 linhas, confiança 0.900
[275/325] OCR: 053 linhas, confiança 0.799
[276/325] OCR: 017 linhas, confiança 0.847
[277/325] OCR: 054 linhas, confiança 0.826
[278/325] OCR: 014 linhas, confiança 0.880
[279/325] OCR: 043 linhas, confiança 0.919
[280/325] OCR: 041 linhas, confiança 0.920
[281/325] OCR: 045 linhas, confiança 0.911
[282/325] OCR: 041 linhas, confiança 0.918
[283/325] OCR: 022 linhas, confiança 0.908
[284/325] OCR: 090 linhas, confiança 0.798
[285/325] OCR: 066 linhas, confiança 0.825
[286/325] OCR: 069 linhas, confiança 0.827
[287/325] OCR: 084 linhas, confiança 0.817
[288/325] OCR: 085 linhas, confiança 0.834
[289/325] OCR: 108 linhas, confiança 0.760
[290/325] OCR: 092 linhas, confiança 0.810
[291/325] OCR: 072 linhas, confiança 0.814
[292/325] OCR: 077 linhas, confiança 0.821
[293/325] OCR: 110 linhas, confiança 0.773
[294/325] OCR: 095 linhas, confiança 0.808
[295/325] OCR: 081 linhas, confiança 0.831
[296/325] OCR: 053 linhas, confiança 0.791
[297/325] OCR: 039 linhas, confiança 0.856
[298/325] OCR: 047 linhas, confiança 0.894
[299/325] OCR: 059 linhas, confiança 0.842
[300/325] OCR: 066 linhas, confiança 0.834
[301/325] OCR: 075 linhas, confiança 0.762
[302/325] OCR: 041 linhas, confiança 0.833
[303/325] OCR: 049 linhas, confiança 0.835
[304/325] OCR: 068 linhas, confiança 0.842
[305/325] OCR: 095 linhas, confiança 0.831
[306/325] OCR: 073 linhas, confiança 0.855
[307/325] OCR: 086 linhas, confiança 0.815
[308/325] OCR: 071 linhas, confiança 0.831
[309/325] OCR: 056 linhas, confiança 0.879
[310/325] OCR: 064 linhas, confiança 0.837
[311/325] OCR: 062 linhas, confiança 0.828
[312/325] OCR: 088 linhas, confiança 0.834
[313/325] OCR: 061 linhas, confiança 0.813
[314/325] OCR: 084 linhas, confiança 0.814
[315/325] OCR: 058 linhas, confiança 0.836
[316/325] OCR: 089 linhas, confiança 0.801
[317/325] OCR: 119 linhas, confiança 0.777
[318/325] OCR: 060 linhas, confiança 0.853
[319/325] OCR: 052 linhas, confiança 0.863
[320/325] OCR: 102 linhas, confiança 0.817
[321/325] OCR: 052 linhas, confiança 0.841
[322/325] OCR: 191 linhas, confiança 0.745
[323/325] OCR: 052 linhas, confiança 0.845
[324/325] OCR: 192 linhas, confiança 0.743
[325/325] OCR: 042 linhas, confiança 0.878
Concluído em 2494.6s: 325 páginas analisadas; 320 com texto; OCR=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325]; baixa confiança=[2, 4, 5, 6, 11, 14, 16, 20, 21, 23, 24, 25, 27, 28, 29, 30, 32, 33, 34, 36, 37, 38, 40, 41, 42, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 65, 66, 67, 69, 70, 71, 72, 75, 78, 82, 83, 86, 87, 90, 91, 94, 98, 101, 102, 123, 124, 126, 129, 130, 131, 132, 134, 135, 137, 138, 139, 140, 141, 143, 145, 146, 149, 150, 152, 153, 154, 156, 157, 158, 159, 160, 161, 162, 164, 168, 169, 173, 174, 175, 177, 180, 182, 183, 184, 185, 186, 189, 190, 193, 196, 197, 198, 200, 201, 204, 205, 208, 211, 213, 214, 215, 218, 219, 220, 221, 222, 223, 224, 227, 228, 231, 234, 237, 238, 240, 241, 242, 243, 245, 246, 249, 250, 251, 252, 256, 257, 258, 259, 260, 264, 265, 267, 272, 273, 275, 276, 277, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 299, 300, 301, 302, 303, 304, 305, 307, 308, 310, 311, 312, 313, 314, 315, 316, 317, 320, 321, 322, 323, 324]
